,source,target,value
250,Black,Mundungus,10
49,Black,Harry,4
275,Billy,Cole,5
274,Billy,Tom,3
285,Bill,Dean,1
455,Bill,Neville,6
451,Bill,Nymphadora,6
319,Bill,George,16
464,Bill,British,6
83,Bill,Fleur,105
84,Bill,Harry,53
80,Bill,Hermione,2
130,Bill,Gabrielle,6
93,Bill,Fred,6
101,Bill,Remus,18
102,Bill,Florean,3
418,Bertram,Harry,3
88,Bellatrix,Sirius,6
87,Bellatrix,Harry,4
27,Bellatrix,Kreacher,12
9,Bellatrix,Draco,10
6,Bellatrix,Lucius,5
5,Bellatrix,Narcissa,17
2,Bellatrix,Severus,9
24,Bellatrix,Vernon,3
0,Bella,Narcissa,36
3,Avery,Yaxley,6
403,Avery,Tom,3
349,Avery,Harry,4
190,Augusta,Neville,10
132,Arthur,Fleur,9
329,Arthur,Severus,5
411,Arthur,Lucius,3
68,Arthur,Harry,32
109,Arthur,Molly,6
328,Arthur,Sirius,5
447,Arthur,Bill,15
242,Arnold,Hermione,1
241,Arnold,Harry,6
135,Arnold,Hedwig,6
136,Arnold,Fleur,5
377,Armando,Harry,5
313,Argus,Draco,4
236,Aragog,Hermione,20
237,Aragog,Harry,117
399,Aragog,Horace,6
118,Apothecary,Fred,6
443,Amycus,Harry,20
442,Amycus,Severus,5
437,Amycus,Draco,11
445,Alecto,Neville,4
444,Alecto,Harry,6
438,Alecto,Amycus,5
46,Albus,Horace,3
43,Albus,Harry,40
428,Albus,Rosmerta,6
